id,sugar_level,calories,weight,fat,food_color
1,115.12 gr,210 cal,400.93 gr,40 gr,Sunset Yellow
2,62.829999999999984 gr,108 cal,411.76 gr,39 gr,Sunset Yellow
3,56.370000000000005 gr,79 cal,419.06 gr,25 gr,Sunset Yellow
4,25.870000000000005 gr,332 cal,1333.52 gr,7 gr,Sunset Yellow
5,69.16999999999999 gr,161 cal,1314.71 gr,26 gr,Rose
6,123.78999999999999 gr,655 cal,48.52 gr,25 gr,Navy Blue
7,122.22 gr,560 cal,1390.02 gr,13 gr,Rose
8,123.24 gr,598 cal,521.61 gr,31 gr,Sunset Yellow
9,66.44 gr,393 cal,1790.73 gr,29 gr,Sunset Red
10,84.80999999999999 gr,383 cal,30.9 gr,16 gr,Lemon Yellow
11,105.24000000000001 gr,494 cal,759.99 gr,27 gr,Purple
12,85.02000000000001 gr,364 cal,1273.2 gr,45 gr,Sunset Red
13,93.06 gr,138 cal,1557.98 gr,16 gr,Coffee
14,80.13 gr,292 cal,82.08 gr,15 gr,Navy Blue
15,131.64 gr,666 cal,1674.88 gr,23 gr,Green
16,27.789999999999992 gr,160 cal,1369.75 gr,14 gr,Rose
17,36.209999999999994 gr,308 cal,1109.83 gr,23 gr,Sunset Red
18,101.02 gr,131 cal,1146.35 gr,18 gr,Coffee
19,95.46000000000001 gr,457 cal,1219.97 gr,25 gr,Green
20,38.859999999999985 gr,354 cal,516.08 gr,19 gr,Navy Blue
21,45.46000000000001 gr,221 cal,283.27 gr,24 gr,Grass Green
22,157.06 gr,571 cal,1891.63 gr,36 gr,Coffee
23,71.63 gr,546 cal,755.32 gr,26 gr,Green
24,129.76999999999998 gr,251 cal,1743.57 gr,17 gr,Lemon Yellow
25,74.68 gr,408 cal,18.98 gr,27 gr,Green
26,90.31 gr,544 cal,1726.52 gr,23 gr,Navy Blue
27,94.70999999999998 gr,358 cal,257.47 gr,15 gr,Purple
28,,190 cal,154.31 gr,15 gr,Sunset Red
29,111.43 gr,480 cal,1457.58 gr,36 gr,Rose
30,145.75 gr,530 cal,998.13 gr,44 gr,Purple
31,125.19999999999999 gr,448 cal,1286.61 gr,33 gr,Navy Blue
32,,26 cal,1029.8 gr,27 gr,Grass Green
33,104.74000000000001 gr,321 cal,1924.5 gr,37 gr,Rose
34,81.07000000000001 gr,166 cal,354.57 gr,27 gr,Sunset Yellow
35,100.16 gr,381 cal,109.46 gr,35 gr,Sunset Yellow
36,46.800000000000004 gr,383 cal,1952.22 gr,40 gr,Sunset Red
37,90.97999999999999 gr,309 cal,1497.05 gr,20 gr,Sunset Red
38,21.08 gr,467 cal,1238.43 gr,34 gr,Sunset Yellow
39,57.35000000000001 gr,121 cal,1194.78 gr,40 gr,Black
40,112.97 gr,276 cal,1982.81 gr,17 gr,Lemon Yellow
41,87.61999999999999 gr,37 cal,544.46 gr,34 gr,Sunset Red
42,86.68999999999998 gr,247 cal,357.01 gr,26 gr,Grass Green
43,31.849999999999994 gr,394 cal,763.95 gr,15 gr,Rose
44,98.62 gr,,822.56 gr,36 gr,Sunset Yellow
45,38.83999999999999 gr,509 cal,1321.94 gr,10 gr,Black
46,98.72 gr,681 cal,388.31 gr,36 gr,Purple
47,39.99000000000001 gr,268 cal,1782.22 gr,36 gr,Lemon Yellow
48,104.3 gr,423 cal,104.6 gr,10 gr,Coffee
49,128.94 gr,732 cal,437.23 gr,36 gr,Lemon Yellow
50,65.78999999999999 gr,234 cal,742.14 gr,42 gr,Lemon Yellow
51,118.42999999999999 gr,482 cal,490.03 gr,23 gr,Purple
52,152.26999999999998 gr,253 cal,282.38 gr,45 gr,Coffee
53,114.59 gr,744 cal,1690.71 gr,36 gr,Sunset Yellow
54,154.5 gr,392 cal,903.0 gr,26 gr,Grass Green
55,76.19 gr,412 cal,1610.35 gr,25 gr,Sunset Yellow
56,118.88000000000001 gr,737 cal,1824.69 gr,37 gr,Rose
57,83.75 gr,468 cal,1058.58 gr,23 gr,Sunset Yellow
58,58.080000000000005 gr,443 cal,554.38 gr,32 gr,Sunset Yellow
59,128.05 gr,548 cal,218.15 gr,43 gr,Navy Blue
60,171.43 gr,449 cal,103.09 gr,36 gr,Navy Blue
61,164.55 gr,478 cal,876.63 gr,36 gr,Sunset Red
62,,135 cal,1109.04 gr,31 gr,Purple
63,103.05999999999999 gr,190 cal,1687.99 gr,36 gr,Purple
64,84.85 gr,346 cal,1.36 gr,33 gr,Grass Green
65,120.88 gr,513 cal,1897.04 gr,27 gr,Grass Green
66,167.21 gr,603 cal,1594.61 gr,34 gr,Rose
67,146.51 gr,423 cal,63.87 gr,23 gr,Sunset Yellow
68,81.88000000000001 gr,549 cal,1510.31 gr,31 gr,Rose
69,88.22999999999999 gr,588 cal,330.08 gr,18 gr,Coffee
70,48.3 gr,151 cal,974.49 gr,27 gr,Coffee
71,89.3 gr,293 cal,853.48 gr,24 gr,Coffee
72,124.92999999999999 gr,493 cal,771.24 gr,21 gr,Lemon Yellow
73,162.15 gr,369 cal,1918.11 gr,22 gr,Black
74,89.28 gr,319 cal,772.65 gr,30 gr,Grass Green
75,118.2 gr,682 cal,1499.91 gr,41 gr,Rose
76,41.11999999999999 gr,370 cal,740.88 gr,29 gr,Coffee
77,142.9 gr,642 cal,1332.31 gr,27 gr,Purple
78,34.06 gr,283 cal,1841.5 gr,21 gr,Sunset Red
79,105.47999999999999 gr,236 cal,1513.78 gr,44 gr,Coffee
80,172.51 gr,573 cal,91.74 gr,32 gr,Lemon Yellow
81,171.56 gr,672 cal,1359.91 gr,38 gr,Coffee
82,97.57 gr,121 cal,1134.74 gr,5 gr,Navy Blue
83,98.34 gr,549 cal,945.08 gr,30 gr,Black
84,62.830000000000005 gr,674 cal,995.69 gr,37 gr,Grass Green
85,124.07 gr,720 cal,633.18 gr,30 gr,Purple
86,115.13 gr,372 cal,1292.26 gr,41 gr,Green
87,51.32 gr,547 cal,770.23 gr,26 gr,Sunset Yellow
88,159.78 gr,683 cal,931.56 gr,29 gr,Sunset Red
89,64.03999999999999 gr,349 cal,1751.76 gr,23 gr,Lemon Yellow
90,98.64 gr,692 cal,4.95 gr,23 gr,Sunset Red
91,60.14 gr,335 cal,44.31 gr,16 gr,Green
92,120.74000000000001 gr,595 cal,1654.58 gr,35 gr,Purple
93,97.80999999999999 gr,444 cal,1570.97 gr,29 gr,Green
94,160.99 gr,659 cal,463.13 gr,25 gr,Grass Green
95,113.9 gr,663 cal,1671.64 gr,36 gr,Navy Blue
96,106.17999999999999 gr,383 cal,1394.81 gr,30 gr,Grass Green
97,39.86 gr,341 cal,1717.64 gr,18 gr,Purple
98,44.989999999999995 gr,475 cal,486.95 gr,37 gr,Lemon Yellow
99,99.92999999999999 gr,127 cal,67.53 gr,2 gr,Navy Blue
100,142.69 gr,510 cal,652.13 gr,23 gr,Sunset Yellow
101,139.94 gr,677 cal,1683.99 gr,25 gr,Black
